### START OF SIDE LOADING POSSIBLE HIJACK LIST - FORMAT (dllname, binary file)
(cryptsp.dll,C:\Windows\System32\genvalobj.exe)
(cryptsp.dll,C:\Windows\System32\omadmclient.exe)
(cryptsp.dll,C:\Windows\System32\rmactivate.exe)
(cryptsp.dll,C:\Windows\System32\rmactivate_isv.exe)
(cryptsp.dll,C:\Windows\System32\rmactivate_ssp.exe)
(cryptsp.dll,C:\Windows\System32\rmactivate_ssp_isv.exe)
(cryptsp.dll,C:\Windows\System32\werfault.exe)
(cryptui.dll,C:\Windows\System32\certutil.exe)
(cryptui.dll,C:\Windows\System32\efsui.exe)
(cryptui.dll,C:\Windows\System32\mstsc.exe)
(cryptui.dll,C:\Windows\System32\rekeywiz.exe)
(cryptxml.dll,C:\Windows\System32\clipup.exe)
(cryptxml.dll,C:\Windows\System32\sppsvc.exe)
(cscapi.dll,C:\Windows\System32\certreq.exe)
(cscapi.dll,C:\Windows\System32\microsoft.uev.cscunpintool.exe)
(d2d1.dll,C:\Windows\System32\dataexchangehost.exe)
(d2d1.dll,C:\Windows\System32\dwm.exe)
(d2d1.dll,C:\Windows\System32\eoaexperiences.exe)
(d2d1.dll,C:\Windows\System32\gamepanel.exe)
(d2d1.dll,C:\Windows\System32\quickassist.exe)
(d2d1.dll,C:\Windows\System32\vsgraphicsdesktopengine.exe)
(d2d1.dll,C:\Windows\System32\vsgraphicsremoteengine.exe)
(d3d10.dll,C:\Windows\System32\winsat.exe)
(d3d10core.dll,C:\Windows\System32\winsat.exe)
(d3d10warp.dll,C:\Windows\System32\slidetoshutdown.exe)
(d3d10warp.dll,C:\Windows\System32\systemreset.exe)
(d3d10_1.dll,C:\Windows\System32\winsat.exe)
(d3d10_1core.dll,C:\Windows\System32\winsat.exe)
(d3d11.dll,C:\Windows\System32\dataexchangehost.exe)
(d3d11.dll,C:\Windows\System32\dwm.exe)
(d3d11.dll,C:\Windows\System32\dxcap.exe)
(d3d11.dll,C:\Windows\System32\dxgiadaptercache.exe)
(d3d11.dll,C:\Windows\System32\gamepanel.exe)
(d3d11.dll,C:\Windows\System32\mdeserver.exe)
(d3d11.dll,C:\Windows\System32\quickassist.exe)
(d3d11.dll,C:\Windows\System32\systemreset.exe)
(d3d11.dll,C:\Windows\System32\taskmgr.exe)
(d3d11.dll,C:\Windows\System32\vsgraphicsdesktopengine.exe)
(d3d11.dll,C:\Windows\System32\vsgraphicsremoteengine.exe)
(d3d11.dll,C:\Windows\System32\winsat.exe)
(d3d12.dll,C:\Windows\System32\dxgiadaptercache.exe)
(d3d12.dll,C:\Windows\System32\taskmgr.exe)
(d3d9.dll,C:\Windows\System32\magnify.exe)
(d3dcompiler_47.dll,C:\Windows\System32\dwm.exe)
(dbgcore.dll,C:\Windows\System32\deploymentcsphelper.exe)
(dbgcore.dll,C:\Windows\System32\djoin.exe)
(dbgcore.dll,C:\Windows\System32\dnscacheugc.exe)
(dbgcore.dll,C:\Windows\System32\ieunatt.exe)
(dbgcore.dll,C:\Windows\System32\muiunattend.exe)
(dbgcore.dll,C:\Windows\System32\netbtugc.exe)
(dbgcore.dll,C:\Windows\System32\netiougc.exe)
(dbgcore.dll,C:\Windows\System32\pnpunattend.exe)
(dbgcore.dll,C:\Windows\System32\setupugc.exe)
(dbgcore.dll,C:\Windows\System32\systemreset.exe)
(dbgcore.dll,C:\Windows\System32\werfault.exe)
(dbgcore.dll,C:\Windows\System32\werfaultsecure.exe)
(dbghelp.dll,C:\Windows\System32\bootim.exe)
(dbghelp.dll,C:\Windows\System32\dxcap.exe)
(dbghelp.dll,C:\Windows\System32\taskkill.exe)
(dbghelp.dll,C:\Windows\System32\tasklist.exe)
(dbghelp.dll,C:\Windows\System32\tracerpt.exe)
(dbghelp.dll,C:\Windows\System32\werfault.exe)
(dcntel.dll,C:\Windows\System32\devicecensus.exe)
(dcomp.dll,C:\Windows\System32\dataexchangehost.exe)
(dcomp.dll,C:\Windows\System32\gamepanel.exe)
(dcomp.dll,C:\Windows\System32\quickassist.exe)
(deviceassociation.dll,C:\Windows\System32\eduprintprov.exe)
(deviceassociation.dll,C:\Windows\System32\proximityuxhost.exe)
(devicecredential.dll,C:\Windows\System32\devicecredentialdeployment.exe)
(devobj.dll,C:\Windows\System32\bthudtask.exe)
(devobj.dll,C:\Windows\System32\chkdsk.exe)
(devobj.dll,C:\Windows\System32\chkntfs.exe)
(devobj.dll,C:\Windows\System32\deviceenroller.exe)
(devobj.dll,C:\Windows\System32\dispdiag.exe)
(devobj.dll,C:\Windows\System32\dmomacpmo.exe)
(devobj.dll,C:\Windows\System32\drvinst.exe)
(devobj.dll,C:\Windows\System32\fsavailux.exe)
